External Library Name, Link to License, License Name, Binaries using the license.
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
libunwind, https://github.com/libunwind/libunwind/blob/master/COPYING, MIT, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless android-emu-agents.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://github.com/libunwind/libunwind/releases/tag/v1.3.1
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/e2fsck bin64/fsck.ext4 bin64/tune2fs ./emulator bin64/resize2fs bin64/mkfs.ext4, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, ./emulator lib64/gles_swiftshader/libEGL.so lib64/gles_swiftshader/libGLESv2.so lib64/gles_swiftshader/libGLES_CM.so, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 lib64/qt/lib/libxkbcommon-x11.so lib64/qt/lib/libX11-xcb.so.1 lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/plugins/imageformats/libqgif.so lib64/qt/lib/libxkbcommon.so.0.0.0 lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 lib64/qt/lib/libX11-xcb.so.1.0.0 lib64/qt/lib/libxkbcommon-x11.so.0.0.0 lib64/qt/plugins/imageformats/libqsvg.so lib64/qt/plugins/imageformats/libqicns.so lib64/qt/plugins/bearer/libqgenericbearer.so lib64/qt/lib/libxkbcommon.so.0 lib64/qt/lib/libQt5SvgAndroidEmu.so.5 lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 lib64/qt/lib/libxkbcommon-x11.so.0 lib64/qt/lib/libxcb-xkb.so.1.0 lib64/qt/lib/libQt5GuiAndroidEmu.so.5 lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/lib/libfreetype.so.6 lib64/qt/lib/libxcb-xkb.so.1.0.0 lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqico.so lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/lib/libX11-xcb.so.1.0 lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/lib/libsqlite3.so lib64/qt/lib/libxcb-xkb.so.1 lib64/qt/plugins/imageformats/libqtga.so lib64/qt/plugins/platforms/libqxcb.so ./emulator lib64/qt/lib/libxkbcommon.so lib64/qt/lib/libsoftokn3.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/lib/libQt5DBusAndroidEmu.so.5 lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/lib/libfontconfig.so.1, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
mynewt-nmble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
