External Library Name, Link to License, License Name, Binaries using the license.
protobuf, BSD-3-Clause, BSD-3-Clause, OpenglRender.so ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 android-emu-protos.so ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator android-emu-tracing.so emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless libprotobuf.so ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, 
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
libvpx, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless android-emu-agents.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, lib64/vulkan/libvulkan.so ./emulator lib64/vulkan/libvulkan.so.1 lib64/vulkan/libvk_swiftshader.so, https://vulkan.lunarg.com/sdk/home
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator OpenglRender.so lib64/libshadertranslator.so, https://chromium.googlesource.com/angle/angle
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
